chinese,foundation
凶险,care
出击,care
出诊,care
击毁,care
击毙,care
击沉,care
刀俎,care
刀刺性痛,care
刀子嘴豆腐心,care
刀锯鼎镬,care
分享,care
分忧,care
分担,care
切痛,care
切肤之痛,care
刑具,care
刑戮,care
刑求,care
刑罚,care
刑舂,care
刑辱,care
划伤,care
创伤,care
创口,care
创痛,care
利民,care
刮伤,care
刺客,care
刺杀,care
刺死,care
刺痛,care
刽子手,care
前人栽树,care
劈空扳害,care
力攻,care
劝慰,care
加护,care
加护病房,care
动情,care
动手,care
助人为乐,care
助纣为虐,care
劫匪,care
劫持,care
勇救,care
勒索,care
勒逼,care
包剿,care
包容,care
包治百病,care
包藏祸心,care
化学武器,care
医官,care
医护,care
医护人员,care
医治,care
千刀万剐,care
协理,care
南京大屠杀,care
南征,care
博爱,care
卧轨,care
卫护,care
卫生防疫,care
危及,care
危害性,care
危重病人,care
厌弃,care
厚待,care
厚谊,care
去世,care
去死,care
去逝,care
参战,care
友善,care
友爱,care
反人类,care
反哺,care
反攻,care
发痛,care
受伤,care
受伤害,care
受刑,care
受害,care
受害人,care
受惠,care
受损,care
受气,care
受益,care
受益人,care
受罪,care
受虐,care
受难者,care
可惜,care
可憎,care
叱骂,care
吃人,care
吃苦头,care
合击,care
吊丧,care
吊唁,care
吊孝,care
吊慰,care
吊死问疾,care
吊民伐罪,care
吊祭,care
后人乘凉,care
吓唬,care
吞声,care
含辛茹苦,care
启蒙,care
吸毒,care
吸毒成瘾,care
周济,care
呵护,care
命危,care
命赴黄泉,care
和和气气,care
和善,care
和善可亲,care
和平,care
和睦,care
和蔼,care
和蔼可亲,care
咒诅,care
咒骂,care
咸猪手,care
哀伤,care
哀号,care
哀哭,care
哀嚎,care
哀怜,care
哀悯,care
哀愁,care
哀痛,care
哀矜,care
哀莫大于心死,care
哀鸿遍野,care
哈达,care
哭丧,care
哭声,care
哺母乳,care
哺育,care
唁信,care
唁函,care
唁劳,care
唁电,care
唾骂,care
啼饥号寒,care
喂养,care
喂母乳,care
喂食,care
善人,care
善心,care
善意,care
善良,care
善良之心,care
善良单纯,care
善良贤惠,care
善行义举,care
善解人意,care
善风,care
喜极而泣,care
嗑药,care
嗔诟,care
回击,care
困扰,care
困苦,care
围剿,care
围护,care
围攻,care
围魏救赵,care
国家一级保护,care
国破家亡,care
国蠹,care
在乎,care
坐月子,care
垂危,care
墨刑,care
声讨,care
多愁多病,care
大孝,care
大度,care
大放悲声,care
大有裨益,care
大祸临头,care
大骂,care
天诛,care
天诛地灭,care
失盗,care
失窃,care
夹击,care
夹攻,care
夺取,care
奋勇杀敌,care
奚落,care
奠祭,care
女犯,care
奸杀,care
好客,care
好心,care
好意,care
妨害,care
姆妈,care
威吓,care
威胁,care
嫌恶,care
孕育,care
孝亲,care
孝亲敬老,care
孝女,care
孝子,care
孝子贤孙,care
孝字,care
孝孙,care
孝心,care
孝悌,care
孝敬,care
孝老,care
孝老敬老,care
孝道,care
孝顺,care
孝顺父母,care
守候,care
守卫者,care
守护,care
守望相助,care
安全区,care
安全帽,care
安全措施,care
安全气囊,care
安危,care
安宁,care
安定,care
安富恤穷,care
安富恤贫,care
安康,care
安心,care
安慰,care
安然无恙,care
安神,care
官报私仇,care
宝贝,care
宠坏,care
宣战,care
害,care
害人,care
害人不浅,care
害命,care
害死,care
家庭和谐,care
家庭暴力,care
家暴,care
家破人亡,care
宽于待人,care
宽仁,care
宽以待人,care
宽厚,care
宽厚仁爱,care
宽和,care
宽大,care
宽大为怀,care
宽宏,care
宽宏大量,care
宽宥,care
宽容,care
宽容大度,care
宽容待人,care
宽容心,care
宽容接纳,care
宽容豁达,care
宽弘,care
宽待,care
宽心,care
宽怀大度,care
宽恕,care
宽慰,care
宽洪,care
宽洪大度,care
宽洪大量,care
宽解,care
宽赦,care
寇攘,care
导盲犬,care
尊师爱徒,care
尊老,care
尊老爱幼,care
小心,care
尖酸刻薄,care
居心险恶,care
屠城,care
屠杀,care
屠杀者,care
屠毒,care
岐视,care
崩坏,care
崩殂,care
巡回义诊,care
帮助,care
帮工,care
帮忙,care
平复,care
平毁,care
庇佑,care
庇廕,care
庇祐,care
康健,care
康复,care
开展义诊,care
开战,care
弃世,care
弃婴,care
弄乱,care
弄伤,care
弄坏,care
弄糟,care
弑父,care
强奸,care
强奸罪,care
强攻,care
强梁,care
强横,care
强盗,care
强迫,care
归天,care
归西,care
当心,care
形丑心善,care
征讨,care
待人和气,care
待人宽厚,care
得益,care
心地善良,care
心底善良,care
心疼,care
心痛,care
心碎,care
心肝,care
心胸宽广,care
心胸宽阔,care
心血,care
忍痛,care
志哀,care
忧伤,care
忧思,care
怀抱,care
怒斥,care
怒骂,care
怜惜,care
性侵,care
性侵害,care
性侵犯,care
性虐待,care
怨声载道,care
恃强欺弱,care
恋人,care
恐吓,care
恐怖主义,care
恐怖组织,care
恐怖袭击,care
恤匮,care
恤嫠,care
恩,care
恩人,care
恩情,care
恩慈,care
恩爱,care
恫吓,care
恶恨,care
恶意,care
恶战,care
恶斗,care
恶疾,care
恶骂,care
患病,care
患难,care
悲不自胜,care
悲伤,care
悲哀,care
悲声载道,care
悲天悯人,care
悲怆,care
悲悯,care
悲痛,care
情不可却,care
情义,care
情人眼里有西施,care
情同手足,care
情同骨肉,care
情有独锺,care
情杀,care
情谊,care
情逾骨肉,care
惠及,care
惠及子孙,care
惠及民生,care
惠政,care
惠施,care
惠民,care
惠民服务,care
惨叫,care
惨怛,care
惨无人道,care
惨杀,care
惨案,care
惨毒,care
惨然,care
惨痛,care
惨绝人寰,care
惨遭,care
惹人心烦,care
愁苦,care
愈合,care
意在沛公,care
感到温暖,care
感化,care
感召,care
感同身受,care
慈善,care
慈善家,care
慈悲,care
慈母,care
慈爱,care
慈祥,care
慈福,care
慈颜,care
慰劳,care
慰唁,care
慰安妇,care
慰籍,care
慷慨捐生,care
慷慨解囊,care
慷慨输将,care
懂礼仪,care
成全,care
成瘾,care
战乱,care
战争,care
战火,care
手足亲情,care
扑杀,care
扒皮,care
扒窃,care
扒高踩低,care
打倒,care
打垮,care
打杀,care
打死,care
打气,care
打狗欺主,care
扔弃,care
托儿所,care
扫除,care
扰乱,care
扶危济困,care
扶持,care
扶掖,care
批斗,care
抗涝,care
抗灾,care
抗震救灾,care
折磨,care
抚恤金,care
抚慰,care
抚慰金,care
抚育,care
抢,care
抢亲,care
抢婚,care
抢救,care
抢险,care
护士,care
护理,care
护着,care
报复,care
报德,care
报答,care
担架,care
拆散,care
拒礼,care
拘守,care
招抚,care
拜寿,care
拣软的欺,care
拥抱,care
拦阻,care
拯救,care
拳打,care
拳打脚踢,care
拶刑,care
拶子,care
拶指,care
拷掠,care
挂彩,care
指桑骂槐,care
指责,care
挖肉补疮,care
挟制,care
挟持,care
挨打受气,care
挨饥抵饿,care
挽救,care
捉拿,care
捐弃,care
捐款,care
捐物,care
捕杀,care
捕食,care
损人利己,care
损坏,care
捣毁,care
授乳,care
授人以鱼不如授人以渔,care
掠夺者,care
探亲,care
探伤,care
探病,care
探视,care
掩护,care
援助,care
援救,care
搏战,care
搏斗,care
搏杀,care
搜救,care
搜救犬,care
搭救,care
摔伤,care
摧残,care
摧毁,care
撒娇,care
撕票,care
撞死,care
撞烂,care
攀诬陷害,care
收容,care
收容所,care
收残缀轶,care
攻伐,care
攻击,care
攻占,care
攻取,care
攻打,care
攻讦,care
攻陷,care
放刁,care
放心,care
敌探,care
救亡,care
救人,care
救出,care
救命,care
救护,care
救援,care
救援队,care
救治,care
救济,care
救火,care
救灾,care
救生袋,care
救生队,care
救难,care
敬孝,care
敬爱,care
敬老,care
敬老尊贤,care
敲诈勒索罪,care
斧钺汤镬,care
斩杀,care
斩草除根,care
斫丧,care
断食,care
新愁旧恨,care
施惠,care
施舍,care
族诛,care
无助,care
无赖,care
既往不咎,care
日久生情,care
旧恶,care
明争暗斗,care
暗伤,care
暗害,care
暗杀,care
暴力,care
暴力法,care
暴力犯罪,care
暴洪,care
暴烈,care
月子,care
有人情,care
有助,care
有害,care
有心,care
有损,care
服务,care
服务人民,care
杀人,care
杀人如麻,care
杀人放火,care
杀人案,care
杀人犯,care
杀人越货,care
杀伤,care
杀伤力,care
杀富济贫,care
杀戮,care
杀掉,care
杀气,care
杀灭,care
杀熟,care
杀生,care
杀绝,care
权益,care
杖刑,care
杜鹃啼血,care
来者不善,care
枪伤,care
染病,care
根绝,care
桀,care
桁杨刀锯,care
案甲休兵,care
横尸遍野,care
横死,care
欺侮,care
欺凌,care
欺压,care
欺压良善,care
欺生,care
欺男霸女,care
止痛,care
止痛药,care
止血,care
正当防卫,care
正统,care
武装分子,care
歧视,care
歹徒,care
死于非命,care
死伤,care
死去,care
死敌,care
死绝,care
死难者,care
歼击,care
殉难,care
殊深轸念,care
残害忠良,care
残废,care
残暴不仁,care
残杀者,care
残毒,care
残民害物,care
残疾儿,care
残虐,care
残酷无情,care
殒命,care
殚残,care
殴打罪,care
毁伤,care
毁家纾难,care
毁容,care
毁损,care
毁掉,care
毁来,care
毁灭,care
毁除,care
母体,care
母爱,care
毒化,care
毒奶,care
毒手,care
毒贩,care
毙命,care
毫不客气,care
民脂民膏,care
民贼独夫,care
气量,care
水刑,care
水害,care
水火无情,care
水灾,care
永逝,care
求援,care
求救,care
污衊,care
污辱,care
沉痛,care
沦陷,care
治死,care
治疗,care
治病救人,care
泪痕,care
泼贱人,care
活罪,care
流寇,care
流脑,care
济助,care
济困扶危,care
济急,care
济贫,care
消沉,care
消瘦,care
深恶痛绝,care
深情,care
深情厚意,care
深情款款,care
混乱,care
温厚,care
温和,care
温和亲切,care
温和友善,care
温和有礼,care
温情,care
温暖,care
温暖人心,care
温暧,care
温柔,care
温柔体贴,care
温柔娴淑,care
温良,care
温言,care
温饱,care
湮灭,care
溃败,care
溺爱,care
滚油煎心,care
满不在乎,care
滥杀无辜,care
濒危,care
濒危物种,care
火坑,care
灭失,care
灭族,care
灭种,care
灭门,care
灼痛,care
灾害,care
炮烙,care
炸毁,care
炸碎,care
烂透,care
烦冤,care
烧伤,care
烧灼伤,care
烧灼疼,care
热心,care
热忱,care
热情,care
热情服务,care
热爱,care
焚毁,care
煎熬,care
照应,care
照护,care
照顾,care
熬煎,care
爱意,care
爱憎,care
爱抚,care
爱护,care
爱昵,care
爱民如子,care
爱莫能助,care
特护,care
狗屎,care
猛击,care
猥亵,care
献爱心,care
玉石俱焚,care
环境保护,care
环境损害,care
玷辱,care
珍重,care
理解,care
生厌,care
生物战,care
电刑,care
畏罪,care
留情,care
疏财重义,care
疑凶,care
疗伤,care
疗养,care
疗养所,care
疫病,care
疮痍,care
疼死,care
疼爱,care
疼痛,care
疾苦,care
病入膏肓,care
病势,care
病去如抽丝,care
病员,care
病容,care
病床,care
病患,care
病房,care
病来如山倒,care
病民害国,care
病民蛊国,care
病虫害,care
痛不欲生,care
痛恨,care
痛感,care
痛斥,care
痛楚,care
瘟疫,care
白奴,care
百善孝为先,care
百孔千疮,care
百行孝为先,care
皮开肉绽,care
皮肉之苦,care
益友,care
盗伐,care
盗窃,care
盗贼,care
相互宽容,care
相伴,care
相知相惜,care
相让,care
看护,care
看病,care
真诚善良,care
眷爱,care
眷眷之心,care
眼中刺,care
眼中钉,care
眼穿肠断,care
瞑眩,care
知恩图报,care
知情达理,care
知遇之恩,care
破坏,care
破敝,care
破相,care
砸毁,care
硬朗,care
磨折,care
示恩,care
礼待,care
礼让,care
礼让他人,care
礼让行人,care
礼轻情意重,care
礼遇,care
祈福禳灾,care
祛风,care
祝福,care
祭奠,care
祸害,care
离愁,care
秃驴,care
秋后算帐,care
种族清洗,care
种族灭绝,care
稳贴,care
空袭,care
突击,care
突袭,care
窃取,care
窜扰,care
窜犯,care
笃爱,care
管待,care
精心,care
精神健康,care
精神病,care
精神衰弱,care
紧抱,care
纠弹,care
纾困,care
细菌战,care
细菌武器,care
结仇,care
绕膝,care
绝情寡义,care
绝灭,care
绷扒吊拷,care
缓解,care
缠扰,care
罗掘,care
罚跪,care
罪大恶极,care
罪性,care
罪无可恕,care
罪魁祸首,care
罹祸,care
罹难,care
羞辱,care
老伴,care
耐烦,care
耳痛,care
聆听,care
聊以自慰,care
联袂,care
聚歼,care
肇事者,care
肉中刺,care
肉刑,care
肏你妈,care
股肱,care
育人,care
育儿,care
胁从犯,care
胁持,care
胁迫,care
胃疼,care
胸怀宽广,care
胸襟宽广,care
胸闷,care
脱皮掉肉,care
脱险,care
腥风血雨,care
臂弯,care
自保,care
自卫,care
自寻死路,care
自尽,care
自杀,care
自相鱼肉,care
自身难保,care
至孝,care
致命,care
致病,care
舍己救人,care
良师益友,care
良母,care
色狼,care
节哀顺变,care
节约用水,care
芝焚蕙叹,care
苦刑,care
苦因,care
苦处,care
苦心,care
苦楚,care
苦水,care
苦痛,care
苦难深重,care
茹毛饮血,care
茹痛,care
荼毒,care
荼毒生灵,care
获救,care
营救,care
葬身,care
蒙难,care
蔽身处,care
蕴藉,care
虐杀,care
虚弱,care
虫灾,care
虫豸,care
蚁斗蜗争,care
蛊祝,care
蛮悍,care
蠹吏,care
蠹国害民,care
蠹害,care
血债,care
血债累累,care
血口喷人,care
血战,care
血晕,care
血案,care
血汗,care
血泪,care
血洗,care
血淋淋,care
血盆大口,care
血肉横飞,care
血腥,care
血账,care
血路,care
行凶,care
行刺,care
行善,care
行好,care
行孝,care
行孝道,care
补助,care
补益,care
袒免,care
袒庇,care
被害人,care
被害者,care
被绑,care
袭击,care
裨益,care
裹挟,care
裹胁,care
要挟,care
覆亡,care
覆灭,care
视如敝屣,care
解寒,care
解愁,care
解救,care
解毒,care
解民倒悬,care
解痛,care
触目伤心,care
讨伐,care
讨扰,care
讨饭,care
让座,care
让行,care
训育,care
诅咒,care
诈骗罪,care
诚意,care
诛,care
诛尽杀绝,care
诛杀,care
诛灭,care
诛锄,care
诛除,care
诟病,care
该死,care
误伤,care
调养,care
调理,care
谆谆,care
谋害,care
谋杀案,care
谋杀罪,care
谋财害命,care
谑而不虐,care
谗害,care
谢天谢地,care
谦恭礼让,care
谨防扒手,care
豺狼虎豹,care
负伤,care
贡献,care
责打,care
责罚,care
贤妻良母,care
贤孝,care
贤惠,care
贤淑,care
败絮,care
贩毒,care
贬低,care
贬斥,care
贴心,care
赈恤,care
赈捐,care
赈济,care
赈灾,care
赌斗,care
赐死,care
赒急扶困,care
赒恤,care
赒济,care
赡养,care
赶尽杀绝,care
足以自慰,care
跳出火坑,care
身心交病,care
身负重伤,care
转危为安,care
转面无情,care
轮奸,care
软禁,care
轻伤,care
辩证施治,care
过犯,care
迎击,care
迎合,care
迎头痛击,care
迎宾,care
还手,care
进攻,care
违强凌弱,care
违强陵弱,care
违法乱纪,care
连坐,care
连累,care
迫害,care
迫胁,care
追击,care
追荐,care
送医,care
送去温暖,care
送温暖,care
送终,care
逍遥法外,care
通情达理,care
通融,care
逝世,care
造福,care
逮捕,care
逼人,care
逼奸,care
逼良为娼,care
逼迫,care
遇害,care
遇难,care
遇难者,care
遗恨,care
遭殃,care
遭瘟,care
遮护板,care
遮风避雨,care
避让行人,care
邻里互助,care
酗酒滋事,care
酷刑,care
酸痛,care
采花贼,care
释然,care
重创,care
重情义,care
重情重义,care
重罚,care
重罚不用,care
鏖战,care
钟情,care
闪击,care
问候,care
问安,care
闵凶,care
防卫,care
防护,care
防毒,care
防灾,care
防空洞,care
防腐,care
防霉,care
防龋,care
阴骘,care
阵亡,care
阵痛,care
阻挠,care
降祉,care
陪床,care
陷害,care
陷落,care
隆情厚谊,care
隐痛,care
隔岸观火,care
难保,care
难受,care
雍容大度,care
雷锋,care
非命,care
非礼,care
靠谱,care
面面俱到,care
面黄肌瘦,care
革出教门,care
顾惜,care
预防措施,care
频危,care
食人,care
食品安全,care
食肉寝皮,care
饥肠辘辘,care
饮水思源,care
饶恕,care
饿殍载道,care
饿莩载道,care
驱赶,care
驻守,care
骂人,care
骂骂咧咧,care
骚扰,care
骨肉相连,care
高空病,care
黑死病,care
黑砖窑,care
鼻青脸肿,care
龙争虎斗,care
关爱,care
照看,care
友好,care
慰问,care
维护,care
爱心,care
同理心,care
感情,care
体贴,care
融洽,care
平安,care
怜悯,care
救助,care
关心,care
共情,care
福利,care
庇护,care
监护,care
战斗,care
榨取,care
遗弃,care
踩死,care
捏死,care
弄死,care
搞死,care
削弱,care
消灭,care
痛苦,care
损伤,care
损毁,care
损害,care
死人,care
受难,care
受苦,care
伤口,care
中伤,care
重伤,care
伤人,care
欺负,care
杀死,care
杀手,care
杀害,care
辱骂,care
蹂躏,care
强暴,care
抨击,care
虐待,care
谋杀,care
灭亡,care
灭绝,care
谩骂,care
掠夺,care
利用,care
滥用,care
困境,care
苦难,care
绝情,care
践踏,care
歼灭,care
击溃,care
毁坏,care
狠心,care
好战,care
好斗,care
扼杀,care
斗殴,care
打架,care
打击,care
打斗,care
粗暴,care
残忍,care
残酷,care
残暴,care
不友好,care
不稳定,care
不同情,care
不损害,care
不关心,care
不安全,care
不爱护,care
剥夺,care
摒弃,care
一呼百诺,auth
一字之师,auth
一把手,auth
一言九鼎,auth
万代,auth
万户侯,auth
万马齐喑,auth
丈人,auth
三个代表,auth
三从四德,auth
三反,auth
三反运动,auth
三民主义,auth
三法司,auth
三皇,auth
三皇五帝,auth
三纲五常,auth
三藏法师,auth
三藩之乱,auth
上交,auth
上司,auth
上天,auth
上将,auth
上将军,auth
上尉,auth
上校,auth
上流,auth
上等兵,auth
上级,auth
上缴,auth
上辈,auth
下令,auth
下属,auth
下放,auth
下级,auth
下聘,auth
下达,auth
不可抗拒,auth
不听命,auth
不孝敬,auth
不孝顺,auth
不忠不孝,auth
不恭,auth
不悌,auth
不打不成才,auth
不服,auth
不畏强权,auth
不破不立,auth
不羁,auth
专家,auth
世俗,auth
世家,auth
世尊,auth
世界卫生组织,auth
世胄,auth
世袭君主国,auth
东征,auth
东征西怨,auth
东罗马帝国,auth
严惩,auth
严慈,auth
丫环,auth
丫鬟,auth
中央,auth
中央直辖市,auth
中将,auth
中校,auth
临朝,auth
为准,auth
为官不仁,auth
主人,auth
主人翁,auth
主仆,auth
主从,auth
主任,auth
主和派,auth
主子,auth
主宰,auth
主导,auth
主导权,auth
主张,auth
主教,auth
主管机关,auth
主计,auth
义和乱,auth
义和团,auth
义警,auth
乖忤,auth
乖迕,auth
乞休,auth
习俗,auth
乱世,auth
乱政,auth
乾隆,auth
争雄,auth
事变,auth
事奉,auth
事权,auth
二把手,auth
二等,auth
五七干校,auth
五四,auth
五四运动,auth
五帝,auth
交警,auth
京师,auth
亲族,auth
亵黩,auth
人尖儿,auth
斗士,auth
人民公社,auth
人民法院,auth
人民行动党,auth
人民警察,auth
什叶派,auth
仁君,auth
仁言利博,auth
仆人,auth
仆役,auth
从军,auth
从命,auth
从善如流,auth
从属,auth
从者,auth
仗势欺人,auth
代管,auth
令箭,auth
令行禁止,auth
以人废言,auth
以夷制夷,auth
以孝为先,auth
以强凌弱,auth
以权压法,auth
以言代法,auth
仪仗队,auth
任贤使能,auth
伏惟,auth
众星拱辰,auth
众星捧月,auth
众议院,auth
优劣,auth
传统,auth
会审,auth
会长,auth
传唤,auth
传承,auth
传旨,auth
传檄,auth
伦常,auth
位列,auth
体制,auth
佣人,auth
佣妇,auth
使役,auth
侍候,auth
侍奉,auth
依顺,auth
侦察兵,auth
侯景之乱,auth
侯门似海,auth
俄罗斯帝国,auth
保守派,auth
倒台,auth
倒行逆施,auth
倾覆,auth
僭越,auth
元勋,auth
元老,auth
兄弟阋墙,auth
兄长,auth
充军,auth
先辈,auth
光前裕后,auth
光宗耀祖,auth
光禄大夫,auth
克格勃,auth
免职,auth
免黜,auth
党性,auth
党政机关,auth
党组,auth
党风廉政,auth
兜捕,auth
全权,auth
八国联军,auth
八旗,auth
八旗制度,auth
公事,auth
公仆,auth
公决,auth
公安,auth
公忠体国,auth
公报私仇,auth
公有化,auth
公检法,auth
公立,auth
共产党员,auth
共和党,auth
关税,auth
兴师问罪,auth
兵役,auth
兵权,auth
兵连祸结,auth
兵部,auth
兵队,auth
兵马,auth
典章,auth
内战,auth
内政,auth
内政部,auth
内阁,auth
册封,auth
册府元龟,auth
冒犯者,auth
军事机构,auth
军事法庭,auth
军令如山,auth
军医院,auth
军团,auth
军阀,auth
军队,auth
农民阶级,auth
冠冕,auth
准予,auth
准许,auth
凛遵,auth
凡例,auth
出柜,auth
出身,auth
分裂组织,auth
刑名之学,auth
刑堂,auth
刑警,auth
刑讯,auth
刑部,auth
判令,auth
判读,auth
利民,auth
制度,auth
制裁,auth
刺史,auth
剃发令,auth
副司令,auth
副州长,auth
副总统,auth
副校长,auth
副院长,auth
办罪,auth
功名利禄,auth
功高望重,auth
加官进爵,auth
劳动人民,auth
劳教所,auth
势族,auth
势高益危,auth
勇于创新,auth
勋爵,auth
勋绩,auth
勒令,auth
勤王,auth
勿替敬典,auth
包办婚姻,auth
包工头,auth
包拯,auth
北约,auth
北洋军,auth
北洋军阀,auth
匪穴,auth
匹夫,auth
区长,auth
医官,auth
十常侍,auth
十年树木百年树人,auth
升斗小民,auth
华胄,auth
协管,auth
协管员,auth
单于,auth
南征北讨,auth
南昌起义,auth
博古,auth
卫尉,auth
印信,auth
危害祖国,auth
却之不恭,auth
厂规,auth
厚生省,auth
参拜,auth
参见,auth
参议院,auth
参谋总长,auth
参谋长,auth
友军,auth
反右斗争,auth
反对,auth
反战抗议,auth
反抗者,auth
反政府,auth
反核,auth
反腐,auth
反腐倡廉,auth
反贪腐,auth
发号施令,auth
发落,auth
发配,auth
受制,auth
受命,auth
受权,auth
叛乱罪,auth
叛匪,auth
叛逆,auth
口令,auth
叩头,auth
召开,auth
召见,auth
号令,auth
司令,auth
司令员,auth
司令官,auth
司令部,auth
司寇,auth
司法机关,auth
司长,auth
合纵连横,auth
同级,auth
名次,auth
名称权,auth
吏治,auth
君主,auth
君主专制,auth
君主制,auth
君主国,auth
君主政体,auth
君主政治,auth
君主立宪制,auth
听命,auth
听随,auth
呈报,auth
呈请,auth
呼之即来,auth
呼来喝去,auth
和尚打伞,auth
哀家,auth
品第,auth
哗变,auth
唯恐天下不乱,auth
喝令,auth
四书,auth
四德,auth
四清运动,auth
因父之名,auth
团练,auth
团长,auth
固守,auth
国书,auth
国会议员,auth
国会议长,auth
国务委员,auth
国务院,auth
国君,auth
国土安全局,auth
国土安全部,auth
国家一级保护,auth
国家环保总局,auth
国度,auth
国徽,auth
国有资产,auth
国民警卫队,auth
国法,auth
国王,auth
国营,auth
国蠹,auth
国防,auth
国防部,auth
国防部长,auth
图腾,auth
土豪劣绅,auth
圣卢西亚,auth
圣贤书,auth
圣躬,auth
在位,auth
地头蛇,auth
均田制,auth
不屈,auth
垂帘听政,auth
城防,auth
堵剿匪徒,auth
增兵,auth
士官,auth
士族,auth
壮丁,auth
处分,auth
处治,auth
处罚,auth
处长,auth
复辟,auth
大一统,auth
大主教,auth
大人,auth
大国,auth
大字报,auth
大将,auth
大尉,auth
大师,auth
大帝,auth
大总统,auth
大权,auth
大校,auth
大法官,auth
大王,auth
大腕,auth
大臣,auth
天下,auth
天下大乱,auth
天地会,auth
天子,auth
天朝,auth
太上,auth
太守,auth
太平天国,auth
失之于宽,auth
失信于民,auth
头儿,auth
头头,auth
头子,auth
头目,auth
头等,auth
头衔,auth
头领,auth
奉养,auth
奉召,auth
奉命,auth
奉旨,auth
奉申贺敬,auth
奉职,auth
奉若神明,auth
奉诏,auth
奥匈帝国,auth
女仆,auth
女王,auth
奴仆,auth
奴婢,auth
奴隶,auth
奴隶主,auth
奸官,auth
奸雄,auth
委员,auth
姥,auth
威严,auth
威信,auth
威容,auth
威尊命贱,auth
威德,auth
威迫,auth
威逼利诱,auth
威震天下,auth
娘娘,auth
婆婆,auth
婢女,auth
嫡系,auth
孙中山,auth
孙逸仙,auth
孝亲,auth
孝悌,auth
孝敬,auth
孝道,auth
孝顺,auth
孝顺父母,auth
学员,auth
学衔,auth
守则,auth
守备,auth
守法,auth
守节,auth
守规矩,auth
安分守己,auth
安史之乱,auth
安检,auth
安理会,auth
安禄山,auth
宗室,auth
宗师,auth
宗庙,auth
宗教仪式,auth
宗教法庭,auth
宗正,auth
官员,auth
官学,auth
官家,auth
官府,auth
官房长官,auth
官爵,auth
官署,auth
官职,auth
官衔,auth
官逼民反,auth
官阶,auth
定鼎,auth
审判,auth
审判权,auth
审处,auth
宣示,auth
宪兵,auth
宪兵队,auth
宪法监护委员会,auth
宫廷,auth
宰制,auth
家庭和谐,auth
家童,auth
家臣,auth
家长,auth
容许,auth
宽赦,auth
富国强兵,auth
寡头,auth
寡头政治,auth
对亲,auth
封建礼教,auth
封爵,auth
封疆,auth
封邑,auth
将军,auth
将帅,auth
将领,auth
